Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,WalkNYC Sign Locations,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution","Percentage Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution",Estimated number of radio sites for CBRS coverage,Estimated number of radio sites for mmWave coverage in optimal areas,Sample of NTA Field Surveyed? (Y/N),Reviewed for Underground Fiber-to-the-Premise? (Y/N),Reviewed for Aerial Fiber-to-the-Premise? (Y/N),Reviewed for Millimeter Wave Fixed Wireless Access? (Y/N),Field Survey Findings
BK09,Brooklyn Heights-Cobble Hill,Brooklyn,"24,140","67,407.17","11,115",0.36,19,0.85,High,0.82,High,0.04,Medium Low,2.6,High,2,High,6,High,0.27,High,1,1,2,27,17,true,"3,097","11,115","14,212",748,High,"25,509",42,225,0,0,false,0,1,4,0,High,45,65,6,0,10,5,0,6,19,1.32,High,0,N/A,0.25,2,0,0.88,Underground Network Areas,High,4.5,High,1.22,Medium High,High,Low,YES,0.37,174,39,NO,NO,NO,NO,NONE
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,"66,293","29,178.73","26,150",2.27,80,0.74,Medium High,0.62,Low,0.04,Medium Low,1.8,Low,1.1,Low,3,Medium High,0.19,Medium High,0.99,0.76,3,18,0,false,"2,474","26,150","28,624",358,Medium Low,"71,948",711,"3,976",0,"2,204",false,7,13,12,0,High,77,122,35,0,7,0,4,11,23,0.43,Medium Low,0,N/A,1,1,0.96,0.53,Above and Underground Network,Average,4,Average,2.45,High,Average,Average,YES,0.25,86,29,NO,NO,NO,NO,NONE
BK19,Brighton Beach,Brooklyn,"34,157","55,432.8","14,557",0.62,23,0.62,Low,0.52,Low,0.04,Medium Low,1.8,Low,1.3,Medium-Low,3,Medium High,0.19,Medium High,0.99,0.76,3,1,0,false,"2,651","14,557","17,208",748,High,"39,608",523,"2,819",0,0,false,0,5,2,1,Medium Low,33,94,14,0,4,0,6,7,5,0.52,Medium Low,0,N/A,0.97,1,0.59,0.83,Above and Underground Network,High,4.5,High,1.43,High,High,Low,YES,0.62,56,8,NO,NO,NO,NO,NONE
BK21,Seagate-Coney Island,Brooklyn,"29,677","21,334.49","11,236",1.39,25,0.59,Low,0.54,Low,0.06,High,1.8,Low,1.2,Low,3,Medium High,0.2,Medium High,0.99,0.76,5,32,0,false,771,"11,236","12,007",480,Medium High,"40,788",748,"2,980",116,"4,098",false,9,5,9,0,Low,31,38,15,0,10,0,4,13,4,0.68,Medium High,0,N/A,1,2,0.63,0.42,Above and Underground Network,Average,4.5,High,1,Medium High,Average,Average,YES,0.36,82,0,YES,NO,YES,YES,"Low make-ready requirements. Some locations had telecom service drops crossing the roadway without proper clearance
Area suitable for fixed wireless."
BK23,West Brighton,Brooklyn,"15,754","50,261.26","8,401",0.31,12,0.61,Low,0.54,Low,0.05,Medium High,1.4,Low,1.5,Medium-High,3,Medium High,0.33,High,1,0.36,0,0,0,false,719,"8,401","9,120",760,High,"19,016",245,846,0,0,false,0,7,0,0,Medium Low,11,18,14,1,1,0,2,2,5,0.58,Medium Low,0,N/A,0.97,1,0.07,0.94,Above and Underground Network,High,4.5,High,0.76,Medium Low,High,Low,YES,0.37,185,35,NO,NO,NO,NO,NONE
BK25,Homecrest,Brooklyn,"44,516","41,381.28","15,528",1.08,36,0.73,Medium High,0.68,Low,0.06,High,2.1,Medium High,1.3,Medium-Low,3,Medium High,0.07,Medium Low,1,0.96,2,1,0,false,"2,165","15,528","17,693",491,Medium High,"52,425",433,"2,767",0,0,false,0,3,9,0,Medium Low,44,178,18,0,5,0,0,5,9,0.39,Low,0,N/A,0.88,2,0.62,0.55,Above and Underground Network,Average,4.5,High,1.52,High,Average,Average,YES,0.11,138,74,NO,NO,NO,NO,NONE
BK26,Gravesend,Brooklyn,"30,288","26,942.47","11,445",1.12,30,0.67,Medium Low,0.64,Low,0.06,High,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.12,Medium High,1,0.86,2,1,0,false,"2,061","11,445","13,506",450,Medium High,"32,120",513,"2,558",0,"1,765",false,3,10,4,0,Medium Low,45,50,12,0,3,0,0,2,4,0.2,Low,0,N/A,1,1,1,0.44,Above and Underground Network,Average,4,Average,1.14,Medium High,Average,Average,YES,0.41,123,59,NO,NO,NO,NO,NONE
BK27,Bath Beach,Brooklyn,"33,163","45,025.64","11,204",0.74,26,0.75,Medium High,0.71,Medium High,0.04,Medium Low,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.24,High,0.92,0.69,1,8,0,false,"1,658","11,204","12,862",495,Medium High,"33,499",405,"1,929",0,0,false,0,4,6,0,Medium Low,34,57,9,0,2,0,0,8,8,0.62,Medium High,0,N/A,0.87,2,0.62,0.93,Above and Underground Network,Average,4,Average,1.12,Medium High,Average,Average,YES,0.17,39,5,NO,NO,NO,NO,NONE
BK28,Bensonhurst West,Brooklyn,"91,646","54,747.36","30,079",1.67,51,0.71,Medium High,0.69,Medium Low,0.05,Medium High,2.5,Medium High,1.4,Medium-High,3,Medium High,0.33,High,0.99,0.97,1,0,0,false,"1,990","30,079","32,069",629,Medium High,"97,134","1,063","6,250",0,0,false,0,9,1,0,Medium Low,53,226,18,0,13,0,1,15,9,0.47,Medium Low,0,N/A,0.6,2,0.29,0.97,Above and Underground Network,Average,4.5,High,2.73,High,Average,Average,YES,0.05,49,4,NO,NO,NO,NO,NONE
BK29,Bensonhurst East,Brooklyn,"64,267","50,080.12","22,373",1.28,42,0.71,Medium Low,0.69,Medium Low,0.05,Medium High,2.4,Medium High,1.2,Medium-Low,3,Medium High,0.14,Medium High,1,0.95,2,2,0,false,"2,093","22,373","24,466",583,Medium High,"70,340",859,"4,853",0,0,false,0,10,4,0,Medium Low,59,144,18,0,6,0,1,6,7,0.31,Low,0,N/A,0.51,2,0.58,0.83,Above and Underground Network,Average,4.5,High,2.07,High,Average,Average,YES,0.16,226,13,NO,NO,NO,NO,NONE
BK30,Dyker Heights,Brooklyn,"45,877","42,761.82","14,720",1.07,35,0.74,Medium High,0.72,Medium High,0.04,Medium Low,3.1,High,1.5,Medium-High,3,Medium High,0.04,Low,1,1,2,7,0,false,"1,462","14,720","16,182",462,Medium High,"48,262",472,"3,202",0,0,false,0,5,3,0,Medium Low,43,79,13,0,7,0,0,3,3,0.17,Low,0,N/A,0.07,2,0.87,0.23,Above and Underground Network,Average,4,Average,1.39,Medium High,Average,Average,NO,0,149,4,YES,YES,NO,NO,Average underground interference from existing utilities.
