Id,Reservation Date,Franchisee Name ,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Construction Completed? (Y/N),Zipcode,Community Board,Council District
17638,12/29/2017,Extenet II,CITY,Brooklyn,989062,160733,40.6078500,-73.9826700,B,Ave P,W 9th St,W 10th St,,,,,,N,11204,311,44
16823,01/08/2018,Mobilitie II,CITY,Brooklyn,991172,162849,40.6136570,-73.9750680,B,Dahill Road,61st Street,24th Avenue,,,,,,Y,11204,311,44
16747,01/08/2018,Mobilitie II,CITY,Brooklyn,990161,162641,40.6130860,-73.9787100,B,23rd Avenue,64th Street,65th Street,,,,,,Y,11204,311,44
15397,11/22/2017,Mobilitie I,CITY,Brooklyn,989703,161765,40.6106820,-73.9803600,B,Avenue O,W 6th Street,W 7th Street,,,,,,Y,11204,311,44
15901,11/16/2017,Extenet II,UTILITY,Brooklyn,988571,160579,40.6074280,-73.9844380,B,W 11th St,Ave P,Kings Hwy,,,,,,Y,11223,311,44
15392,11/22/2017,Mobilitie I,CITY,Brooklyn,989936,160789,40.6080030,-73.9795220,B,Avenue P,W 6th Street,W 5th Street,,,,,,N,11223,311,44
15349,11/22/2017,Mobilitie I,CITY,Brooklyn,988461,159838,40.6053940,-73.9848350,B,Quentin Road,W 12th Street,W 11th Street,,,,,,Y,11223,311,44
14273,10/28/2016,Mobilitie I,UTILITY,Brooklyn,987829,160458,40.6070960,-73.9871110,B,Stillwell Av,Avenue P,Kings Hwy,,,,,LUCRETIA MARCIGLIANO CAMPUS,Y,11223,311,44
16761,01/08/2018,Mobilitie II,CITY,Brooklyn,990243,169616,40.6322310,-73.9784090,B,Dahill Road,43rd Street,44th Street,,,,,,Y,11218,312,44
20792,01/28/2019,ZenFi,UTILITY,Brooklyn,984417,169605,40.6322030,-73.9993980,B,57 St,12 Av,11 Av,,,,,,Y,11219,312,44
20739,01/17/2019,ZenFi,UTILITY,Brooklyn,985292,169577,40.6321260,-73.9962460,B,55th St,13th Av,12th Av,,,,,,N,11219,312,44
18518,01/18/2018,ExteNet I,CITY,Brooklyn,986321,170442,40.6345000,-73.9925380,B,13th Ave,50th St,49th St,,,,,,Y,11219,312,44
18515,01/18/2018,ExteNet I,CITY,Brooklyn,987621,169659,40.6323510,-73.9878550,B,15th Ave,49th St,Rabbi Weissmandl Way,,,,,,Y,11219,312,44
