Id,X Coord.,Y Coord.,Latitude,Longitude,Zone,Franchisee,On street,Cross street 1,Cross street 2,Borough,Pole type,BID Advisory,Historic Advisory,NYSDOT Advisory,Park Advisory,Port Auth Advisory,School Advisory,Submission date,Equipment Installed? (Yes/No)
2040,990378,221185,40.773776,-73.977875,A,"Extenet Systems, INC. II",CENTRAL PK W,W 68 ST,W 69 ST,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Upper West Side/Central Park West Historic District,,,,,Jun-16-2005,Yes
2041,990920,222025,40.776081,-73.975917,A,"Extenet Systems, INC. II",CENTRAL PK W,TERRACE DR,W 71 ST,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Central Park,,,,,Jun-16-2005,Yes
2042,991563,223321,40.779638,-73.973594,A,"Extenet Systems, INC. II",Central Park West,77th Street,81st Street,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Upper West Side/Central Park West Historic District,,,,,Jun-16-2005,Yes
2043,992114,224172,40.781973,-73.971604,A,"Extenet Systems, INC. II",CENTRAL PK W,TRANSVERSE RD 2,W 82 St,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Central Park,,,,,Jun-16-2005,Yes
2044,992730,225433,40.785434,-73.969378,A,"Extenet Systems, INC. II",Central Park West,86th Street,87th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper West Side/Central Park West Historic District,,,,,Jun-16-2005,Yes
2047,993249,220420,40.771674,-73.967511,A,"Extenet Systems, INC. II",5th Avenue,71st Street,70th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper East Side Historic District,,,,,Jun-16-2005,Yes
2048,992744,219509,40.769174,-73.969335,A,"Extenet Systems, INC. II",5th Avenue,67th Street,66th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper East Side Historic District,,,,,Jun-16-2005,Yes
2049,992493,219051,40.767917,-73.970242,A,"Extenet Systems, INC. II",5th Avenue,65th Street,64th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper East Side Historic District,,,,,Jun-16-2005,Yes
2064,987699,221769,40.77538,-73.987547,A,"Extenet Systems, INC. II",West End Avenue,65th Street,66th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2066,986690,219928,40.770328,-73.991191,A,"Extenet Systems, INC. II",11th Avenue,57th Street,58th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,This pole is located within 20 feet of the following school: JOHN JAY COLLEGE BMW BUILDING,Jun-16-2005,Yes
2069,990727,217947,40.764888,-73.976618,A,"Extenet Systems, INC. II",6th Avenue,58th Street,57th Street,Manhattan,Traffic Light Pole,,,,,,,Jun-16-2005,Yes
2071,989803,218125,40.765377,-73.979954,A,"Extenet Systems, INC. II",57th Street,7th Avenue,6th Avenue,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2072,991867,217914,40.764797,-73.972503,A,"Extenet Systems, INC. II",5th Avenue,60th Street,59th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper East Side Historic District,,,,,Jun-16-2005,Yes
2074,992543,216946,40.762139,-73.970064,A,"Extenet Systems, INC. II",58th Street,Park Ave,Lexington Ave,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2075,990867,218173,40.765508,-73.976113,A,"Extenet Systems, INC. II",Central Park South,6th Avenue,Grand Army Plaza,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2076,990074,218615,40.766722,-73.978975,A,"Extenet Systems, INC. II",Central Park South,7th Avenue,6th Avenue,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2077,992155,217509,40.763685,-73.971464,A,"Extenet Systems, INC. II",Madison Avenue,59th Street,60th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2125,992899,211663,40.747638,-73.968785,A,"Extenet Systems, INC. II",FDR DR SVC RD W,E 41 ST,E 42 ST,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2127,992279,210748,40.745127,-73.971024,A,"Extenet Systems, INC. II",FDR DR SVC RD W,E 37 ST,E 36 ST,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2128,991742,210457,40.744329,-73.972962,A,"Extenet Systems, INC. II",1st Avenue,35th Street,34th Street,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2129,991661,208983,40.740284,-73.973256,A,"Extenet Systems, INC. II",FDR DR W LA,E 30 ST,E 29 ST,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: HUNTER COLL BROOKDALE W BUILDING,Jun-16-2005,Yes
2132,991399,209995,40.743061,-73.974201,A,"Extenet Systems, INC. II",1st Avenue,33rd Street,32nd Street,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2133,991897,210000,40.743075,-73.972404,A,"Extenet Systems, INC. II",FDR DR W LA,E 34 ST,E 30 ST,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: NYU ARNOLD & MARIE SCHWARTZ LECTURE HALL,Jun-16-2005,Yes
2135,983716,214572,40.755627,-74.001927,A,"Extenet Systems, INC. II",11th Avenue,34th Street,33rd Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
