Id,Reservation Date,Franchisee Name ,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Zipcode,Community Board,Council District
21673,07/02/2019,Crown Castle NG,Proposed,CITY,Manhattan,992974,220032,40.77060900000,-73.96850400000,A,5th Ave,W 69th St,W 70th St,,,Central Park,,,00083,164,6
21670,07/02/2019,Crown Castle NG,Proposed,CITY,Manhattan,990448,221165,40.77372100000,-73.97762250000,A,Central Park West,W 68th St,W 69th St,Central Park,,Central Park,,,00083,164,6
21353,06/25/2019,Crown Castle Solutions,Proposed,CITY,Manhattan,993230,226184,40.78749440000,-73.96757150000,A,Central Park West,W 90th St,W 89th St,Central Park,,Central Park,,,00083,164,6
18274,01/08/2018,ExteNet I,Approved,CITY,Manhattan,993428,226544,40.78848230000,-73.96685600000,A,Central Park W,W 91st St,W 90th St,Central Park,,Central Park,,,00083,164,6
18116,12/22/2017,Crown Castle NG,Installed,CITY,Manhattan,991792,220723,40.77250670000,-73.97277050000,A,Center Dr,Nell Singer Lilac Walk,Terrace Dr,Central Park,,Central Park,,,00083,164,6
17669,12/22/2017,Crown Castle NG,Approved,CITY,Manhattan,995319,224257,40.78220290000,-73.96003090000,A,5th Ave,E 87th St,E 86th St,,,Central Park,,,00083,164,6
17500,12/22/2017,Crown Castle NG,Approved,CITY,Manhattan,996190,225858,40.78659610000,-73.95688300000,A,5th Ave,E 94th St,E 93rd St,Central Park,,Central Park,,,00083,164,6
17257,12/12/2017,Crown Castle NG,Installed,CITY,Manhattan,998018,229130,40.79557420000,-73.95027510000,B,5th Ave,E 108th St,E 107th St,,,Central Park,,,00083,164,6
17048,12/12/2017,Crown Castle Fiber,Installed,CITY,Manhattan,991532,219806,40.76999000000,-73.97371020000,A,Center Dr,East Dr,65th St Transverse,Central Park,,Central Park,,,00083,164,6
16826,12/02/2017,Crown Castle Solutions,Installed,CITY,Manhattan,992152,221166,40.77372230000,-73.97147030000,A,Terrace Dr,Center Drive,East Drive,Central Park,,Central Park,,,00083,164,6
16068,12/02/2017,Crown Castle Solutions,Installed,CITY,Manhattan,992444,219078,40.76799110000,-73.97041860000,A,5th Ave,E 65th St,E 64th St,,,Central Park,,,00083,164,6
14856,04/28/2017,Crown Castle Solutions,Approved,CITY,Manhattan,990619,220473,40.77182150000,-73.97700570000,A,West Dr,Terrace Dr,Center Dr,Central Park,,Central Park,,,00083,164,6
14401,11/08/2016,ExteNet I,Approved,CITY,Manhattan,996569,230513,40.79937230000,-73.95550580000,B,7 AVE,CENTRAL PK N,EAST DR,Central Park,,Central Park,,,00083,164,6
14398,11/08/2016,ExteNet I,Installed,CITY,Manhattan,996724,226798,40.78917540000,-73.95495290000,B,5 AVE,E 98 ST,E 97 ST,,,Central Park,,,00083,164,6
14331,11/08/2016,ExteNet I,Approved,CITY,Manhattan,996164,229931,40.79777540000,-73.95696960000,B,WEST DR,102ND ST CUTOFF,7 AVE,Central Park,,Central Park,,,00083,164,6
14330,11/08/2016,ExteNet I,Installed,CITY,Manhattan,997416,230049,40.79809750000,-73.95244750000,B,MALCOLM X BLVD,CENTRAL PK N,EAST DR,,,Central Park,,,00083,164,6
14329,11/08/2016,ExteNet I,Approved,CITY,Manhattan,996212,229360,40.79620810000,-73.95679730000,B,WEST DR,102ND ST CUTOFF,7 AVE,Central Park,,Central Park,,,00083,164,6
14328,11/08/2016,ExteNet I,Installed,CITY,Manhattan,997230,227710,40.79167790000,-73.95312380000,B,5 AVE,E 102 ST,E 101 ST,,,Central Park,,,00083,164,6
14141,10/21/2016,ExteNet I,Installed,CITY,Manhattan,993546,226767,40.78909420000,-73.96642960000,A,CENTRAL PARK WEST,W 92 ST,W 93 ST,,,Central Park,,,00083,164,6
14137,10/21/2016,ExteNet I,Installed,CITY,Manhattan,996326,226070,40.78717780000,-73.95639150000,A,5 AVE,E 95 ST,E 94 ST,,,Central Park,,,00083,164,6
14132,10/21/2016,ExteNet I,Installed,CITY,Manhattan,995584,224745,40.78354200000,-73.95907320000,A,5 AVE,E 89 ST,E 90 ST,,,Central Park,,,00083,164,6
13019,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,989824,219423,40.76894000000,-73.97987680000,A,West Dr,Center Dr,65th St Transverse,Central Park,,Central Park,,,00083,164,6
13015,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,991493,221389,40.77433500000,-73.97384930000,A,Terrace Dr,West Dr,Center Drive,Central Park,,Central Park,,,00083,164,6
13013,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,991047,221498,40.77463450000,-73.97545950000,A,Terrace Dr,West Dr,Central Park W,Central Park,,Central Park,,,00083,164,6
13009,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,990080,219925,40.77031770000,-73.97895220000,A,West Dr,65th Transverse,Center Drive,Central Park,,Central Park,,,00083,164,6
12938,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,990665,218530,40.76648840000,-73.97684150000,A,Center Drive,W 59th St,Center Drive,Central Park,,Central Park,,,00083,164,6
12823,08/25/2016,Crown Castle Solutions,Installed,CITY,Manhattan,992215,218659,40.76684120000,-73.97124580000,A,5th Ave,E 63rd St,E 64th St,,,Central Park,,,00083,164,6
11779,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,991708,220555,40.77204570000,-73.97307400000,A,Center Dr,Nell Singer Lilac Walk,Terrace Dr,Central Park,,Central Park,,,00083,164,6
11777,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,989950,219757,40.76985670000,-73.97942170000,A,West Dr,Central Park South,65 St Transverse,Central Park,,Central Park,,,00083,164,6
11776,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,990189,218928,40.76758110000,-73.97855950000,A,Center Dr,West Dr,W 59 St,Central Park,,Central Park,,,00083,164,6
11775,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,990441,218495,40.76639250000,-73.97765020000,A,West 59th Street/Central Park South,7 Ave,6 Ave,,,Central Park,,,00083,164,6
11774,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,990857,219023,40.76784140000,-73.97614790000,A,Center Dr,West Dr,65 St Transverse,Central Park,,Central Park,,,00083,164,6
11772,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,992706,219551,40.76928910000,-73.96947210000,A,5 Ave,67 St,68 St,,,Central Park,,,00083,164,6
11766,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,991632,221235,40.77391220000,-73.97334760000,A,Terrace dr,West Dr,East Dr,Central Park,,Central Park,,,00083,164,6
11765,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,991086,221453,40.77451100000,-73.97531870000,A,John V. Lindsay Drive,Terrace Dr,W 67 St,Central Park,,Central Park,,,00083,164,6
11645,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,991739,218604,40.76669070000,-73.97296420000,A,Center Dr,Central Park South,65 St Transverse,Central Park,,Central Park,,,00083,164,6
11028,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993752,224396,40.78258630000,-73.96568900000,A,Great Lawn walk,E 85th St,W 86th St,Central Park,,Central Park,,,00083,164,6
11027,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993895,223911,40.78125490000,-73.96517330000,A,Great Lawn walk,Park Dr N,E 85th St,Central Park,,Central Park,,,00083,164,6
11026,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993642,223527,40.78020120000,-73.96608740000,A,Great Lawn walk,Park Dr N,E 85th St,Central Park,,Central Park,,,00083,164,6
11025,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993099,223921,40.78128320000,-73.96804750000,A,Great Lawn walk,Park Dr S,W 86th St,Central Park,,Central Park,,,00083,164,6
11024,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993314,224291,40.78229850000,-73.96727070000,A,Great Lawn walk,Park Dr S,W 86th St,Central Park,,Central Park,,,00083,164,6
11003,10/16/2015,Crown Castle NG,Installed,CITY,Manhattan,992515,224905,40.78398460000,-73.97015510000,A,Central Park West,W 84th St,W 85th St,,,Central Park,,,00083,164,6
10996,10/16/2015,Crown Castle NG,Installed,CITY,Manhattan,991850,218010,40.76506020000,-73.97256420000,A,5th Ave,60th Street,61st Street,,,Central Park,,,00083,164,6
10994,10/16/2015,Crown Castle NG,Approved,CITY,Manhattan,992944,224640,40.78325680000,-73.96860630000,A,West Dr,W 85th St,W 90th St,Central Park,,Central Park,,,00083,164,6
10302,09/26/2014,Crown Castle NG,Approved,CITY,Manhattan,989794,219552,40.76929410000,-73.97998500000,A,West Dr,Central Park South,"Central Park West, 72nd St",Central Park,,Central Park,,,00083,164,6
10301,09/26/2014,Crown Castle NG,Approved,CITY,Manhattan,991677,218779,40.76717110000,-73.97318790000,A,East Dr,E 60th St,Center Dr,Central Park,,Central Park,,,00083,164,6
10300,09/26/2014,Crown Castle NG,Approved,CITY,Manhattan,990611,218690,40.76692760000,-73.97703630000,A,Center Drive,West Dr,"Central Park S, Ave of Americas",Central Park,,Central Park,,,00083,164,6
10271,09/26/2014,Crown Castle NG,Approved,CITY,Manhattan,992571,225008,40.78426720000,-73.96995270000,A,Central Park West,W 85th st,W 84th st,,,Central Park,,,00083,164,6
10270,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,992253,224437,40.78270030000,-73.97110170000,A,Central Park West,W 82nd st,W 83rd st,,,,,,00083,164,6
10184,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,993490,220971,40.77318580000,-73.96663980000,A,5th ave,E 73rd Street,E 72nd Street,,,Central Park,,,00083,164,6
10182,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,990028,220419,40.77167370000,-73.97913950000,A,Central Park West,65th St,64th Street,,,Central Park,,,00083,164,6
10179,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,989795,220004,40.77053470000,-73.97998100000,A,Central Park West,63rd Street,64th Street,,,,,,00083,164,6
10083,09/11/2014,Crown Castle NG,Installed,CITY,Manhattan,997776,228694,40.79437790000,-73.95115000000,B,5th Ave,E 106th st,E 107th st,,,Central Park,,,00083,164,6
9778,12/20/2013,Extenet II,Installed,CITY,Manhattan,990024,218724,40.76702130000,-73.97915540000,A,CENTRAL PARK SOUTH,7th Avenue,COLUMBUS CIRCLE,,,Central Park,,,00083,164,6
9777,12/20/2013,Extenet II,Installed,CITY,Manhattan,989779,218863,40.76740300000,-73.98003970000,A,CENTRAL PARK SOUTH,7th Avenue,COLUMBUS CIRCLE,,,Central Park,,,00083,164,6
9495,08/09/2013,Crown Castle NG,Installed,CITY,Manhattan,992201,218631,40.76676440000,-73.97129640000,A,5th Ave,E 63rd St,E 62nd St,,,Central Park,,,00083,164,6
8895,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,990661,220556,40.77204930000,-73.97685400000,A,West Drive,W 67th Street,W 59th Street,Central Park,,Central Park,,,00083,164,6
8894,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,991618,220390,40.77159290000,-73.97339910000,A,Central Park Driveway,Terrace Drive,West Drive,Central Park,,Central Park,,,00083,164,6
8893,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,994057,223520,40.78018150000,-73.96458890000,A,East Drive,East 72nd Street,East 90th Street,Central Park,,Central Park,,,00083,164,6
8888,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,992750,224010,40.78152780000,-73.96930760000,A,West Drive,79th St Transverse,86th St Transverse,Central Park,,Central Park,,,00083,164,6
8886,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,992005,221226,40.77388720000,-73.97200090000,A,Terrace Drive,Central Park Driveway,East Drive,Central Park,,Central Park,,,00083,164,6
8885,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,995750,225101,40.78451890000,-73.95847320000,A,5th Avenue (Museum Mile),E 90th Street,E 91st Street,Central Park,,Central Park,,,00083,164,6
8884,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,995199,224095,40.78175840000,-73.96046450000,A,5th Avenue,East 86th Street,East 87th Street,Central Park,,Central Park,,,00083,164,6
8883,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,994788,223687,40.78063910000,-73.96194920000,A,84th St Transverse,5th Avenue,Central Park West,Central Park,,Central Park,,,00083,164,6
8882,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,994551,222877,40.77841610000,-73.96280620000,A,5th Avenue,81st Street,82nd Street,,,Central Park,,,00083,164,6
