Id,Country ,City ,Borough,Zipcode,Zone,On street,Cross street 1,Cross street 2,Community Board,Council District,Reservation Date,Franchisee Name ,Status,Pole Class,Latitude,Longitude,X Coord.,Y Coord.
10270,USA,New York,Manhattan,83,A,Central Park West,W 82nd st,W 83rd st,164,6,9/26/2014,Crown Castle NG,Installed,CITY,40.7827003,-73.9711017,992253,224437
10179,USA,New York,Manhattan,83,A,Central Park West,63rd Street,64th Street,164,6,9/26/2014,Crown Castle NG,Installed,CITY,40.7705347,-73.979981,989795,220004
6761,USA,New York,Manhattan,83,B,5th Ave,E 97th St,E 96th St,164,6,4/14/2009,Crown Castle NG,Installed,CITY,40.7885443,-73.9554083,996598,226568
17499,USA,New York,Manhattan,83,A,Central Park West,W 63rd St,W 62nd St,164,6,12/22/2017,Crown Castle NG,Proposed,CITY,40.7704277,-73.9800605,989773,219965
21620,USA,New York,Manhattan,10001,A,7 AVE,W 34 ST,W 35 ST,105,3,7/10/2019,ExteNet I,Proposed,CITY,40.7514135,-73.9904752,986889,213037
21209,USA,New York,Manhattan,10001,A,8th Ave,W 31st St,W 30th St,105,3,7/14/2019,ZenFi,Approved,CITY,40.7501265,-73.9947956,985692,212568
18260,USA,New York,Manhattan,10001,A,7th Ave,W 27th St,W 28th St,105,3,1/8/2018,ExteNet I,Approved,CITY,40.7469535,-73.9937023,985995,211412
18259,USA,New York,Manhattan,10001,A,7th Ave,W 33rd St,W 32nd St,105,3,1/8/2018,ExteNet I,Proposed,CITY,40.7502086,-73.9910132,986740,212598
17197,USA,New York,Manhattan,10001,A,8th Ave,W 33rd St,W 34th St,105,3,12/12/2017,Crown Castle Fiber,Installed,CITY,40.7515509,-73.9937849,985972,213087
15602,USA,New York,Manhattan,10001,A,Avenue of the Americas,W 27th Street,W 26th Street,105,3,1/28/2018,Mobilitie II,Proposed,CITY,40.7452817,-73.9909128,986768,210803
13731,USA,New York,Manhattan,10001,A,6 AVE,W 30 ST,W 31 ST,105,3,10/7/2016,Extenet II,Installed,CITY,40.7473017,-73.9894617,987170,211539
13721,USA,New York,Manhattan,10001,A,W 28 ST,8 AVE,7 AVE,105,3,10/7/2016,Extenet II,Installed,CITY,40.7479499,-73.9949185,985658,211775
13720,USA,New York,Manhattan,10001,A,W 30 ST,7 AVE,6 AVE,105,3,10/7/2016,Extenet II,Installed,CITY,40.7481802,-73.9916378,986567,211859
13573,USA,New York,Manhattan,10001,A,6 AVE,W 32 ST,W 33 ST,105,3,10/7/2016,Extenet II,Installed,CITY,40.7486384,-73.9887613,987364,212026
13572,USA,New York,Manhattan,10001,A,BROADWAY,W 34 ST,W 33 ST,105,3,10/7/2016,Extenet II,Installed,CITY,40.7500436,-73.9880068,987573,212538
13509,USA,New York,Manhattan,10001,A,W 29th St,7th Ave,6th Ave,105,3,9/22/2016,Crown Castle NG,Installed,CITY,40.747409,-73.9917317,986541,211578
13501,USA,New York,Manhattan,10001,A,W 29th St,8th Ave,7th Ave,105,3,9/22/2016,Crown Castle NG,Approved,CITY,40.7486086,-73.9945936,985748,212015
13499,USA,New York,Manhattan,10001,A,W 30th St,7th Ave,8th Ave,105,3,9/22/2016,Crown Castle NG,Installed,CITY,40.7490752,-73.9937779,985974,212185
13482,USA,New York,Manhattan,10001,A,W 27th St,7th Ave,8th Ave,105,3,9/22/2016,Crown Castle NG,Proposed,CITY,40.7472555,-73.9952072,985578,211522
13479,USA,New York,Manhattan,10001,A,W 31st St,8th Ave,7th Ave,105,3,9/22/2016,Crown Castle NG,Installed,CITY,40.7497833,-73.9934891,986054,212443
13478,USA,New York,Manhattan,10001,A,W 33rd St,8th Ave,7th Ave,105,3,9/22/2016,Crown Castle NG,Installed,CITY,40.7508894,-73.9926805,986278,212846
13476,USA,New York,Manhattan,10001,A,W 32nd St,7th Ave,6th Ave,105,3,9/22/2016,Crown Castle NG,Approved,CITY,40.7494839,-73.990923,986765,212334
13474,USA,New York,Manhattan,10001,A,W 33rd St,6th Ave,7th Ave,105,3,9/22/2016,Crown Castle NG,Proposed,CITY,40.7495167,-73.9890679,987279,212346
13381,USA,New York,Manhattan,10001,A,7th Ave,W 28th St,W 29th St,105,3,9/22/2016,Crown Castle NG,Installed,CITY,40.7472554,-73.9932259,986127,211522
13380,USA,New York,Manhattan,10001,A,W 27th St,7th Ave,6th Ave,105,3,9/22/2016,Crown Castle NG,Proposed,CITY,40.746097,-73.9924573,986340,211100
13332,USA,New York,Manhattan,10001,A,Broadway,W 29th St,W 30th St,105,3,9/22/2016,Crown Castle NG,Proposed,CITY,40.7461516,-73.9886751,987388,211120
13328,USA,New York,Manhattan,10001,A,6th Ave,W 30th St,W 29th St,105,3,9/22/2016,Crown Castle NG,Proposed,CITY,40.7471508,-73.98957,987140,211484
13326,USA,New York,Manhattan,10001,A,W 30th St,6th Ave,7th Ave,105,3,9/22/2016,Crown Castle NG,Installed,CITY,40.7477163,-73.9908331,986790,211690
13325,USA,New York,Manhattan,10001,A,W 31st St,7th Ave,6th Ave,105,3,9/22/2016,Crown Castle NG,Installed,CITY,40.7486358,-73.9908257,986792,212025
13057,USA,New York,Manhattan,10001,A,W 34th St,Broadway,7th Ave,105,3,8/25/2016,Crown Castle Solutions,Approved,CITY,40.7505021,-73.9892338,987233,212705
