Neighborhood_Tabulation_Area_Code__NTA_Code_,Neighborhood_Tabulation_Area_Name__NTA_NAME_,Borough_Name,Total_Population,Population_Density__per_Sq__Mi__,Total_Number_of_Households,Area__Sq__Mi__,Street_Mileage,Home_Broadband_Adoption__Percentage_of_Households_,"Home_Broadband_Adoption_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Mobile_Broadband_Adoption__Percentage_of_Households_,"Mobile_broadband_adoption_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Mobile_Dependent_Households__Percentage_of_Households_,"Mobile_Dependent_Households_Categorized_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Residential_Broadband_Choice_Average_by_NTA,"Residential_Broadband_Choice_Average_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Commercial_Fiber_ISP_Choice_Average_by_NTA,"Commercial_Fiber_Choice_Average_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Commercial_Fiber_Max_ISP_Choice_by_NTA,"Commercial_Fiber_Max_ISP_Choice_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Percentage_of_Blocks_without_a_Commercial_Fiber_Provider,Percentage_of_Blocks_without_a_Commercial_Fiber_Provider_by_Quartiles,Percentage_of_Blocks_with_ISP_Reported_Speed_Availability_of_>=25_Mbps__Broadband_Speed_,Percentage_of_Blocks_with_ISP_Reported_Speed_Availability_of_>=900_Mbps,Number_of_Public_Computer_Centers_with_free_public_Wi-Fi,Public_Wi-Fi_in_NYC_Count,Number_of_Free_Public_Wi-Fi_Access_Points_in_a_Pedestrian_Corridor,Available_Free_Public_Wi-Fi_in_a_Pedestrian_Corridor__Y/N_,Estimated_Number_of_Businesses,Number_of_Households,Total_Accounts,Account_Density,Account_Density_Quartile,Population_Projections_2050,Households_Receiving_Benefits,Estimated_Lifeline_Eligible_Households,Supportive_Housing__NYCDHS_,Low-Income_Housing__NYCHA_,Presence_of_IBZs,Number_of_NYCHA_Buildings,Number_of_Public_Schools,Number_of_DCAS_Buildings,Number_of_NYC_H+H_Buildings,City_Buildings_with_High_Rooftops__7+_Floors__Capacity_by_Quartile,Street_Furniture:_FDNY_Call_Boxes,Street_Furniture:_Parking_Pay_Stations,Street_Furniture:_Bus_Stop_Shelters,Street_Furniture:_Bike_Shelters,Street_Furniture:_City_Benches,LinkNYC_Kiosks,WalkNYC_Sign_Locations,Poles_Reserved_by_Mobile_Telecom_Franchisee,Pole_with_Equipment_Installed_by_Mobile_Telecom_Franchise,Density_of_Poles_Reserved_and_with_Equipment_Installed_for_Mobile_Telecom_Franchise,Mobile_Telecom_Franchise_Pole_Density_Level_by_Quartile,Empire_City_Subway_Coverage__Percentage_,Percentage_of_Households_with_fewer_than_3_broadband_options_available,Number_of_Fixed_Wireless_Providers_Available,Estimated_Aerial_Plant_Coverage__Percentage_,Estimated_Underground_Plant_Coverage__Percentage_,Geographic_Variations_in_Fiber_Delivery_Modes_by_NTA,Estimated_Underground_Utility_Conflict_Volume,Utility_Pole_Make_Ready_Estimated_Required_Number_of_Moves,Utility_Pole_Make-Ready_-_Estimated_Relative_Volume,NYC_Internet_Master_Plan_Open_Access_Infrastructure_Cost_Comparison_Coefficient,NYC_Internet_Master_Plan_Open_Access_Infrastructure_Cost_Comparison_Coefficient_by_Quartile,"Fiber_Drops,_Estimated_Relative_Costs","Indoor_Cabling_for_Multiple_Dwelling_Units,_Estimated__Relative_Costs","Optimal_for_Unlicensed
Millimeter_Wave_Fixed_Wireless_Access_as_a_Residential
Broadband_Solution","Percentage_Optimal_for_Unlicensed
Millimeter_Wave_Fixed_Wireless_Access_as_a_Residential
Broadband_Solution",Estimated_number_of_radio_sites_for_CBRS_coverage,Estimated_number_of_radio_sites_for_mmWave_coverage_in_optimal_areas,Sample_of_NTA_Field_Surveyed?__Y/N_,Reviewed_for_Underground_Fiber-to-the-Premise?__Y/N_,Reviewed_for_Aerial_Fiber-to-the-Premise?__Y/N_,Reviewed_for_Millimeter_Wave_Fixed_Wireless_Access?__Y/N_,Field_Survey_Findings,Percentage_of_Blocks_WITH_Commercial_Fiber_Provider,Size_of_Population_Growth_by_2030,2030_Population_Density,Pole_Rich,Pop_Growth_Rate
BK09,Brooklyn Heights-Cobble Hill,Brooklyn,24140,67407.17,11115,0.36,19,0.85,High,0.82,High,0.04,Medium Low,2.6,High,2.0,High,6,High,0.27,High,1.0,1.0,2,27,17,True,3097.0,11115.0,14212.0,748.0,High,25509.0,42.0,225.0,0.0,0.0,False,0.0,1.0,4.0,0.0,High,45.0,65.0,6.0,0.0,10.0,5.0,0,6.0,19.0,1.32,High,0.0,0.25,2.0,0.0,0.88,Underground Network Areas,High,4.5,High,1.22,Medium High,High,Low,YES,0.37,174.0,39.0,NO,NO,NO,NO,NONE,0.73,1369.0,70858.33333333334,Poles Reserved Below Average,Unknown
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,66293,29178.73,26150,2.27,80,0.74,Medium High,0.62,Low,0.04,Medium Low,1.8,Low,1.1,Low,3,Medium High,0.19,Medium High,0.99,0.76,3,18,0,False,2474.0,26150.0,28624.0,358.0,Medium Low,71948.0,711.0,3976.0,0.0,2204.0,False,7.0,13.0,12.0,0.0,High,77.0,122.0,35.0,0.0,7.0,0.0,4,11.0,23.0,0.43,Medium Low,0.0,1.0,1.0,0.96,0.53,Above and Underground Network,Average,4.0,Average,2.45,High,Average,Average,YES,0.25,86.0,29.0,NO,NO,NO,NO,NONE,0.81,5655.0,31695.154185022027,Poles Reserved Above Average,Unknown
BK19,Brighton Beach,Brooklyn,34157,55432.8,14557,0.62,23,0.62,Low,0.52,Low,0.04,Medium Low,1.8,Low,1.3,Medium-Low,3,Medium High,0.19,Medium High,0.99,0.76,3,1,0,False,2651.0,14557.0,17208.0,748.0,High,39608.0,523.0,2819.0,0.0,0.0,False,0.0,5.0,2.0,1.0,Medium Low,33.0,94.0,14.0,0.0,4.0,0.0,6,7.0,5.0,0.52,Medium Low,0.0,0.97,1.0,0.59,0.83,Above and Underground Network,High,4.5,High,1.43,High,High,Low,YES,0.62,56.0,8.0,NO,NO,NO,NO,NONE,0.81,5451.0,63883.87096774194,Poles Reserved Below Average,High Growth
BK21,Seagate-Coney Island,Brooklyn,29677,21334.49,11236,1.39,25,0.59,Low,0.54,Low,0.06,High,1.8,Low,1.2,Low,3,Medium High,0.2,Medium High,0.99,0.76,5,32,0,False,771.0,11236.0,12007.0,480.0,Medium High,40788.0,748.0,2980.0,116.0,4098.0,False,9.0,5.0,9.0,0.0,Low,31.0,38.0,15.0,0.0,10.0,0.0,4,13.0,4.0,0.68,Medium High,0.0,1.0,2.0,0.63,0.42,Above and Underground Network,Average,4.5,High,1.0,Medium High,Average,Average,YES,0.36,82.0,0.0,YES,NO,YES,YES,"Low make-ready requirements. Some locations had telecom service drops crossing the roadway without proper clearance
Area suitable for fixed wireless.",0.8,11111.0,29343.884892086335,Poles Reserved Above Average,Unknown
BK23,West Brighton,Brooklyn,15754,50261.26,8401,0.31,12,0.61,Low,0.54,Low,0.05,Medium High,1.4,Low,1.5,Medium-High,3,Medium High,0.33,High,1.0,0.36,0,0,0,False,719.0,8401.0,9120.0,760.0,High,19016.0,245.0,846.0,0.0,0.0,False,0.0,7.0,0.0,0.0,Medium Low,11.0,18.0,14.0,1.0,1.0,0.0,2,2.0,5.0,0.58,Medium Low,0.0,0.97,1.0,0.07,0.94,Above and Underground Network,High,4.5,High,0.76,Medium Low,High,Low,YES,0.37,185.0,35.0,NO,NO,NO,NO,NONE,0.6699999999999999,3262.0,61341.93548387097,Poles Reserved Below Average,Unknown
BK25,Homecrest,Brooklyn,44516,41381.28,15528,1.08,36,0.73,Medium High,0.68,Low,0.06,High,2.1,Medium High,1.3,Medium-Low,3,Medium High,0.07,Medium Low,1.0,0.96,2,1,0,False,2165.0,15528.0,17693.0,491.0,Medium High,52425.0,433.0,2767.0,0.0,0.0,False,0.0,3.0,9.0,0.0,Medium Low,44.0,178.0,18.0,0.0,5.0,0.0,0,5.0,9.0,0.39,Low,0.0,0.88,2.0,0.62,0.55,Above and Underground Network,Average,4.5,High,1.52,High,Average,Average,YES,0.11,138.0,74.0,NO,NO,NO,NO,NONE,0.9299999999999999,7909.0,48541.666666666664,Poles Reserved Below Average,Unknown
BK26,Gravesend,Brooklyn,30288,26942.47,11445,1.12,30,0.67,Medium Low,0.64,Low,0.06,High,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.12,Medium High,1.0,0.86,2,1,0,False,2061.0,11445.0,13506.0,450.0,Medium High,32120.0,513.0,2558.0,0.0,1765.0,False,3.0,10.0,4.0,0.0,Medium Low,45.0,50.0,12.0,0.0,3.0,0.0,0,2.0,4.0,0.2,Low,0.0,1.0,1.0,1.0,0.44,Above and Underground Network,Average,4.0,Average,1.14,Medium High,Average,Average,YES,0.41,123.0,59.0,NO,NO,NO,NO,NONE,0.88,1832.0,28678.571428571428,Poles Reserved Below Average,Low Growth
BK27,Bath Beach,Brooklyn,33163,45025.64,11204,0.74,26,0.75,Medium High,0.71,Medium High,0.04,Medium Low,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.24,High,0.92,0.69,1,8,0,False,1658.0,11204.0,12862.0,495.0,Medium High,33499.0,405.0,1929.0,0.0,0.0,False,0.0,4.0,6.0,0.0,Medium Low,34.0,57.0,9.0,0.0,2.0,0.0,0,8.0,8.0,0.62,Medium High,0.0,0.87,2.0,0.62,0.93,Above and Underground Network,Average,4.0,Average,1.12,Medium High,Average,Average,YES,0.17,39.0,5.0,NO,NO,NO,NO,NONE,0.76,336.0,45268.91891891892,Poles Reserved Below Average,Unknown
BK28,Bensonhurst West,Brooklyn,91646,54747.36,30079,1.67,51,0.71,Medium High,0.69,Medium Low,0.05,Medium High,2.5,Medium High,1.4,Medium-High,3,Medium High,0.33,High,0.99,0.97,1,0,0,False,1990.0,30079.0,32069.0,629.0,Medium High,97134.0,1063.0,6250.0,0.0,0.0,False,0.0,9.0,1.0,0.0,Medium Low,53.0,226.0,18.0,0.0,13.0,0.0,1,15.0,9.0,0.47,Medium Low,0.0,0.6,2.0,0.29,0.97,Above and Underground Network,Average,4.5,High,2.73,High,Average,Average,YES,0.05,49.0,4.0,NO,NO,NO,NO,NONE,0.6699999999999999,5488.0,58164.071856287424,Poles Reserved Above Average,High Growth
BK29,Bensonhurst East,Brooklyn,64267,50080.12,22373,1.28,42,0.71,Medium Low,0.69,Medium Low,0.05,Medium High,2.4,Medium High,1.2,Medium-Low,3,Medium High,0.14,Medium High,1.0,0.95,2,2,0,False,2093.0,22373.0,24466.0,583.0,Medium High,70340.0,859.0,4853.0,0.0,0.0,False,0.0,10.0,4.0,0.0,Medium Low,59.0,144.0,18.0,0.0,6.0,0.0,1,6.0,7.0,0.31,Low,0.0,0.51,2.0,0.58,0.83,Above and Underground Network,Average,4.5,High,2.07,High,Average,Average,YES,0.16,226.0,13.0,NO,NO,NO,NO,NONE,0.86,6073.0,54953.125,Poles Reserved Below Average,High Growth
