Id,Reservation Date,Franchisee Name ,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Zipcode,Community Board,Council District
10270,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,992253.0,224437,40.7827003,-73.9711017,A,Central Park West,W 82nd st,W 83rd st,83,164,6
10179,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,989795.0,220004,40.7705347,-73.979981,A,Central Park West,63rd Street,64th Street,83,164,6
6761,04/14/2009,Crown Castle NG,Installed,CITY,Manhattan,996598.0,226568,40.7885443,-73.9554083,B,5th Ave,E 97th St,E 96th St,83,164,6
17499,12/22/2017,Crown Castle NG,Proposed,CITY,Manhattan,989773.0,219965,40.7704277,-73.9800605,A,Central Park West,W 63rd St,W 62nd St,83,164,6
21620,07/10/2019,ExteNet I,Proposed,CITY,Manhattan,986889.0,213037,40.7514135,-73.9904752,A,7 AVE,W 34 ST,W 35 ST,10001,105,3
21209,07/14/2019,ZenFi,Approved,CITY,Manhattan,985692.0,212568,40.7501265,-73.9947956,A,8th Ave,W 31st St,W 30th St,10001,105,3
18260,01/08/2018,ExteNet I,Approved,CITY,Manhattan,985995.0,211412,40.7469535,-73.9937023,A,7th Ave,W 27th St,W 28th St,10001,105,3
18259,01/08/2018,ExteNet I,Proposed,CITY,Manhattan,986740.0,212598,40.7502086,-73.9910132,A,7th Ave,W 33rd St,W 32nd St,10001,105,3
17197,12/12/2017,Crown Castle Fiber,Installed,CITY,Manhattan,985972.0,213087,40.7515509,-73.9937849,A,8th Ave,W 33rd St,W 34th St,10001,105,3
15602,01/28/2018,Mobilitie II,Proposed,CITY,Manhattan,986768.0,210803,40.7452817,-73.9909128,A,Avenue of the Americas,W 27th Street,W 26th Street,10001,105,3
13731,10/07/2016,Extenet II,Installed,CITY,Manhattan,987170.0,211539,40.7473017,-73.9894617,A,6 AVE,W 30 ST,W 31 ST,10001,105,3
13721,10/07/2016,Extenet II,Installed,CITY,Manhattan,985658.0,211775,40.7479499,-73.9949185,A,W 28 ST,8 AVE,7 AVE,10001,105,3
13720,10/07/2016,Extenet II,Installed,CITY,Manhattan,986567.0,211859,40.7481802,-73.9916378,A,W 30 ST,7 AVE,6 AVE,10001,105,3
13573,10/07/2016,Extenet II,Installed,CITY,Manhattan,987364.0,212026,40.7486384,-73.9887613,A,6 AVE,W 32 ST,W 33 ST,10001,105,3
13572,10/07/2016,Extenet II,Installed,CITY,Manhattan,987573.0,212538,40.7500436,-73.9880068,A,BROADWAY,W 34 ST,W 33 ST,10001,105,3
13509,09/22/2016,Crown Castle NG,Installed,CITY,Manhattan,986541.0,211578,40.747409,-73.9917317,A,W 29th St,7th Ave,6th Ave,10001,105,3
13501,09/22/2016,Crown Castle NG,Approved,CITY,Manhattan,985748.0,212015,40.7486086,-73.9945936,A,W 29th St,8th Ave,7th Ave,10001,105,3
13499,09/22/2016,Crown Castle NG,Installed,CITY,Manhattan,985974.0,212185,40.7490752,-73.9937779,A,W 30th St,7th Ave,8th Ave,10001,105,3
13482,09/22/2016,Crown Castle NG,Proposed,CITY,Manhattan,985578.0,211522,40.7472555,-73.9952072,A,W 27th St,7th Ave,8th Ave,10001,105,3
13479,09/22/2016,Crown Castle NG,Installed,CITY,Manhattan,986054.0,212443,40.7497833,-73.9934891,A,W 31st St,8th Ave,7th Ave,10001,105,3
13478,09/22/2016,Crown Castle NG,Installed,CITY,Manhattan,986278.0,212846,40.7508894,-73.9926805,A,W 33rd St,8th Ave,7th Ave,10001,105,3
